,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
5,NYC79AA106,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,0.0,0.0,1.0,44.0
7,SEA82DA022,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
8,NYC82DA015,Non-Fatal,Substantial,Airplane,Cessna,401B,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
12,FTW82FRJ07,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
13,FTW82FRA14,Fatal(1),Destroyed,Airplane,Cessna,R172K,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
14,FTW82FPJ10,Fatal(1),Destroyed,Airplane,Navion,A,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
15,FTW82FPG08,Fatal(2),Destroyed,Airplane,Beech,19,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
17,ANC82FAG14,Fatal(3),Destroyed,Airplane,Cessna,180,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
18,NYC82DA016,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
20,CHI82FEC08,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
21,CHI82DA020,Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
23,LAX82IA034,Incident,Minor,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
24,LAX82FA040,Fatal(2),Destroyed,Airplane,Grumman,AA-5B,No,1.0,Reciprocating,2.0,1.0,0.0,0.0
